text,source,timestamp,domain
"Why scientists fear Emperor penguins' annual moult may be killing them","BBC","2026-03-01","environment"
"Utterly devastating wildfire shows we need to be more prepared","BBC","2026-02-28","environment"
"UK puffins in peril as winter storms threaten mass seabird 'wreck'","BBC","2026-02-21","environment"
"Supreme Court closes suo motu case on polluted rivers after five years of near inaction","The Hindu","2026-02-24","environment"
"Climate change could restrict habitat availability for Western Ghats birds such as The Nilgiri Wood Pigeon, warn researchers","The Hindu","2026-02-28","environment"
"India among four nations driving most global pesticide toxicity: study","The Hindu","2026-02-22","environment"
"Hollowing out the hills: how real estate boom is impacting Nilgiris","The Hindu","2026-02-22","environment"
"U.S. energy chief says IEA must 'drop' focus on climate change","The Hindu","2026-02-18","environment"
"Winter getting shorter in 80% of major US cities, new data shows","The Guardian","2026-02-27","environment"
"Tropical plants flowering months earlier or later because of climate crisis – study","The Guardian","2026-02-25","environment"
"Injecting particulates into the atmosphere isn’t a magical fix for the climate crisis : Mike Hulme","The Guardian","2026-02-20","environment"
"Climate change contributed to high winter AQI in city","The Times of India","2026-02-22","environment"
"Almond and fruit blossoms hit Kashmir early: Why Kashmir's fruits are flowering in February?","The Times of India","2026-02-25","environment"
"Climate change threatens coffee yields as India logs 30 additional hot days a year","The Times of India","2026-02-19","environment"
"Antarctica to face rains: How will it impact the icy continent?","The Times of India","2026-02-25","environment"
"With No Festivals or Elections Ahead, Yamuna's Foam Becomes a Non-Story","The Quint","2026-02-23","environment"
"As 2 Degree Warning stares at us, India must invest in climate adaptation to shield its economy","Mint","2026-02-18","environment"
"Ocean temperature patterns play key role in limiting spread of droughts worldwide: Study","Deccan Herald","2026-02-23","environment"
"The battle to save South America’s skull-crushing big cat","The Economist","2026-02-16","environment"
"'It's overwhelming': Plastic from 1960s Canada washes up on Orkney beach","BBC","2026-02-18","environment"
"Limiting warming to 2C is ‘crucial’ to protect pristine Antarctic Peninsula","Carbon Brief","2026-02-20","environment"
"Ma Jun: ‘No business interest’ in Chinese coal power due to cheaper renewables ","Carbon Brief","2026-02-19","environment"
"Dangerous heat for Tour de France riders only a ‘question of time’","Carbon Brief","2026-02-24","environment"
"ACs on fire, phones overheating: Will 2026 be a repeat of the summer of 2024?","India Today","2026-02-28","environment"
"India's monsoon will worsen: Ocean's salt could be making El Nino stronger","India Today","2026-02-25","environment"
"Ganga river delta sinking faster than the seas are rising: Why it's worrying","India Today","2026-02-20","environment"
"Trucks are just 3% of India's vehicles, but produce over 50% of road emissions","India Today","2026-02-27","environment"
"Temperature crosses 30ºC mark in mid-February: Will 2026 be hotter than 2025?","India Today","2026-02-17","environment"
"Climate change has tripled the days ideal for raging wildfires","India Today","2026-02-20","environment"
"New York buried under snow: What is fuelling the bomb cyclone battering the US?","India Today","2026-02-24","environment"
"Cities may heat up disproportionately faster than rural neighbours, even at 2°C warming","Mongabay","2026-02-20","environment"
"Pre-monsoon storms intensify with thunder and flash floods","Mongabay","2026-02-24","environment"
"Young people anxious about climate change, environment and economic insecurity; protests by youth on these issues increasing: SOE 2026 report","Down To Earth","2026-02-27","environment"
"Ocean carbon blindspot could hamper climate change mitigation and adaptation: UNESCO Report","Down To Earth","2026-02-25","environment"
"The highly salty Southern Indian Ocean is getting fresher due to global warming: Study","Down To Earth","2026-02-20","environment"
"SOE 2026: India is warming fast. Will it lead to a climate apocalypse?","Down To Earth","2026-02-26","environment"
"Amid ongoing global mass coral bleaching, scientists discover thriving coral reef in Lakshadweep","Down To Earth","2026-02-19","environment"
"Amazon released up to 170 million tonnes of carbon during 2023 drought, study finds","Down To Earth","2026-02-19","environment"
"Rajasthan farmers fear wheat losses as February temperatures surge 5-6°C above normal","Down To Earth","2026-02-16","environment"
"Air pollution causing 16 times more deaths each year than COVID-19: Sanjeev Bagai at AAD 2026","Down To Earth","2026-02-26","environment"
"India braces for hotter-than-normal summer, more heatwave days expected","Down To Earth","2026-02-28","environment"
"North Dakota judge finalizes $345 million judgment against Greenpeace in pipeline case","Reuters","2026-02-28","environment"
"How 200-year-old tea leaves could help breed climate-resilient tea","Reuters","2026-02-24","environment"
"Over 3 lakh lives saved: Asia emerges as a leader against climate disasters","India Today","2026-02-26","environment"
"Unborn babies are already carrying forever chemicals. What are they?","India Today","2026-02-24","environment"
"Eurasian diving duck in Kaziranga triggers climate change concern","The Hindu","2026-02-25","environment"
"Ferruginous Pochard shows up, and a sleepy village near Chennai comes to life","The Hindu","2026-02-24","environment"
"1.32 million lives may be saved yearly by 2040 under ambitious climate action: Study","The Hindu","2026-02-21","environment"
"Great Backyard Bird Count 2026: North Coastal Andhra posts strong species tally","The Hindu","2026-02-20","environment"
"Kashmir scientists develop wheat varieties to solve crop cycle issue","The Hindu","2026-02-20","environment"
"58 bird species documented during Campus Bird Count 2026 at Yenepoya university in Mangaluru","The Hindu","2026-02-19","environment"
"India’s climate challenge cannot be solved in conference rooms: Tata Trusts CEO","The Hindu","2026-02-18","environment"
"Assam environmental activist flags rat-hole coal mining along Arunachal border","The Hindu","2026-02-17","environment"
"Why Kerala declared tidal flooding a State-specific disaster | Explained","The Hindu","2026-02-17","environment"
"Loggerhead turtles face four-pronged threats due to climate change","The Hindu","2026-02-17","environment" 
"Space Pioneers Rakesh Sharma and Shubhanshu Shukla join forces for climate action","The Hindu","2026-02-17","environment"
"Indian Golden Oriole, Brown Shrike, and Booted Eagle sighted during bird census in Tamil Nadu’s central region","India Today","2026-02-16","environment"
"New initiatives to prevent heat impacts in India announced at Mumbai Climate Week","India Today","2026-02-20","environment"
"What led to extreme rain that deluged the Western Mediterranean this past month? Climate change, says WWA","Down To Earth","2026-02-26","environment"
"Lethal moist heatwaves during monsoon can be predicted for adaptation","Down To Earth","2026-02-25","environment" 
"India’s cold wave events shifting or expanding geographically, no longer confined to core winter months: DTE analysis","Down To Earth","2026-02-24","environment"
"Land-use change reshaping spider communities in the Himalayas, finds research","Down To Earth","2026-02-23","environment"
"Global fashion faces serious financial risk if it does not speed up response to climate change: Report","Down To Earth","2026-02-23","environment"
"Atomic AI: Why India’s compute boom is the next climate governance test","Down To Earth","2026-02-19","environment"
"Rising urban heat could cut India’s GDP by 2.5%, Banks and industry warn ahead of Mumbai Climate Week 2026","Down To Earth","2026-02-17","environment"
"Valencia floods: Warming supercharges storms, signalling worldwide trend","Down To Earth","2026-02-18","environment"
"Health and environmental groups sue EPA over repeal of landmark climate finding","Down To Earth","2026-02-19","environment"
"Parts of Antarctic ice sheet have different tipping points, some may have already been crossed","Down To Earth","2026-02-17","environment"
"Trump has scrapped the long-standing legal basis for tackling climate emissions","Down To Earth","2026-02-16","environment"
"SOE 2026: Why the residents of India’s national and state capitals have shortened life spans","Down To Earth","2026-02-26","environment"
"Warmer winters leave Pakistan festival on thin ice","Reuters","2026-02-27","environment"
"Congo lakes are releasing ancient carbon, raising climate concerns, study says","Reuters","2026-02-24","environment"
"With only 3 women left, an Amazon tribe faced extinction. An unexpected birth now brings hope","AP News","2026-02-27","environment"
"Shrinking North American bird population is getting worse faster. Experts blame agriculture, warming","AP News","2026-02-27","environment"
"Illegal gold mining surges into new parts of Peru’s Amazon, threatening rivers and lives","AP News","2026-02-24","environment"
"Trump administration eases limits on coal plants for emitting mercury, other toxins","AP News","2026-02-21","environment"
"Trump climate health rollback likely to hit poor, minority areas hardest, experts say","AP News","2026-02-20","environment"
"Birds Aren’t Just Declining. They’re Declining Faster, a New Study Finds.","The New York Times","2026-02-26","environment"
"Wildfire Seasons Are Starting to Overlap. That Spells Trouble for Firefighting.","The New York Times","2026-02-27","environment"
"Thousands of pollution incidents in England downgraded without site visit, data suggests","The Guardian","2026-03-01","environment"
"Toxic waste from screens ends up in endangered dolphins, study finds","The Guardian","2026-02-25","environment"
"Wood burning pollution leads to 8,600 premature US deaths a year, study finds","The Guardian","2026-02-20","environment"
"‘There has to be glitter’: can the Rio carnival give up its love of beach-polluting microplastics?","The Guardian","2026-02-19","environment"
"Above-normal temperatures, more heatwave days likely from March to May: IMD","The Statesman","2026-02-28","environment"
"Brazil flooding death toll rises to 64 as search efforts continue","Al Jazeera","2026-02-27","environment"
"UN approves first carbon credits under Paris Agreement market mechanism","Al Jazeera","2026-02-26","environment"
"Cyclone Gezani kills four in Mozambique as Madagascar assesses damage","Al Jazeera","2026-02-15","environment"
"Scotland's plan to install heat pumps 'too slow' - climate advisers","BBC","2026-02-25","environment"
"Miliband says climate impact of data centres is uncertain","BBC","2026-02-27","environment"
"Lost fossils reveal sea monsters that took over after Earth’s greatest extinction","Science Daily","2026-02-25","environment"
"Antarctica just saw the fastest glacier collapse ever recorded","Science Daily","2026-02-26","environment"
"A simple water shift could turn Arctic farmland into a carbon sink","Science Daily","2026-02-22","environment"
"A major climate hope in Antarctica just melted away","Science Daily","2026-02-28","environment"
"Space lasers reveal oceans rising faster than ever","Science Daily","2026-02-24","environment"
"Microplastics have reached Antarctica’s only native insect","Science Daily","2026-02-16","environment"
"Over a billion fear losing land and homes within five years","UN News","2026-02-25","environment"
"Big Decisions Loom for a Rapidly Shrinking Lake Powell","Circle of Blue","2026-02-26","environment"
"Ohio EPA Considers ‘Lowering of Water Quality’ Necessary for Data Center Growth","Circle of Blue","2026-02-17","environment"
"‘Calling climate change a hoax is a good joke’: Nadir Godrej has a strong message to Donald Trump","Mint","2026-02-18","environment"
"Tiger–Human Conflict on the Rise, Finds India’s State of Environment 2026","The Quint","2026-02-27","environment"
"‘Subedaar’: Full music album of Anil Kapoor’s upcoming actioner out","The Hindu","2026-02-28","entertainment"
"‘The Kerala Story 2 Goes Beyond’ movie review: Communal rhetoric masquerading as a cautionary tale","The Hindu","2026-02-28","entertainment"
"‘Accused’ movie review: A perceptive take on #MeToo discourse that provokes reflection over resolution","The Hindu","2026-02-27","entertainment"
"Vijay Deverakonda, Rashmika Mandanna are officially married","The Hindu","2026-02-27","entertainment"
"‘Spirit’: Vivek Oberoi’s first look from the Sandeep Reddy Vanga film unveiled","The Hindu","2026-02-28","entertainment"
"Olivia Dean crowned new UK queen of pop as Brit Awards hit the north","BBC","2026-03-01","entertainment"
"‘I wasn’t ambitious until I was 60!’ Gary Wilmot on comedy, panto, musicals – and his Beckett-style new play","The Guardian","2026-02-16","entertainment"
"Neil Sedaka, the singer-songwriter behind dozens of hits of the 1960s and ‘70s, dies at age 86","CNN","2026-02-28","entertainment"
"Sutapa Sikdar remembers Irrfan on anniversary, recalls his wish to marry again","India Today","2026-03-01","entertainment"
"Mahesh Babu says Priyanka was swashbuckling in The Bluff, she teases Antartica meeting","India Today","2026-03-01","entertainment"
"Prabhas to Vijay Deverakonda: Is scale swallowing the soul in Telugu films?","India Today","2026-03-01","entertainment"
"Cruz Beckham launches music career, having fun amid family drama","BBC","2026-02-27","entertainment"
"Ghosts TV sitcom brought back to life as a feature film","BBC","2026-02-27","entertainment"
"Bafta Tourette's row has 'reversed' film's message","BBC","2026-02-27","entertainment"
"Phil Collins, Pink and Shakira nominated for Rock & Roll Hall of Fame","BBC","2026-02-25","entertainment"
"Mescal and Abrams go red carpet official, William's 'I'm not calm' comment and other key Bafta moments","BBC","2026-02-25","entertainment"
"Baftas red carpet: Wunmi Mosaku, Paul Mescal and Teyana Taylor among stars at film awards","BBC","2026-02-25","entertainment"
"K-pop's BLACKPINK returns with new release after more than 3 years","Reuters","2026-02-27","entertainment"
"Olivia Dean's 'The Art Of Loving' wins album of the year at BRITs","Reuters","2026-03-01","entertainment"
"'One Battle After Another' wins big at Britain's BAFTA film awards","Reuters","2026-02-22","entertainment"
"Agatha Christie's 'insightful' letters sold at auction","BBC","2026-02-20","entertainment"
"Bookseller 'gobsmacked' at award nomination","BBC","2026-02-26","entertainment"
"TRP Report: Kyunki Saas Bhi Kabhi Bahu Thi 2 takes the lead, Anupamaa, and Naagin 7 make it to the top 3","Pinkvilla","2026-02-26","entertainment"
"The 50: Are Monalisa and Vikrant Singh heading towards divorce after 18 years of relationship? Actress reveals","Pinkvilla","2026-02-26","entertainment"
"O'Romeo Box Office Collections: Shahid Kapoor and Triptii Dimri starrer registers 40 percent jump on 3rd Saturday, crosses Rs 55 crore mark","Pinkvilla","2026-03-01","entertainment"
"Assi Box Office Collections Day 9: Taapsee Pannu's courtroom drama registers 30 percent spike on 2nd Saturday, hits Rs 7.50 crore mark","Pinkvilla","2026-03-01","entertainment"
"Sargun Mehta calls out 'baseless' pregnancy rumors with Ravi Dubey: 'How fast am I birthing them?'","Pinkvilla","2026-02-21","entertainment"
"Bengali actor Subhashree Ganguly, son stranded in Dubai amid Middle East conflict","India Today","2026-03-01","entertainment"
"Ram Charan begins dubbing for Peddi, shares fun studio video. Watch","India Today","2026-03-01","entertainment"
"Jack White to Mark Ruffalo, Hollywood celebs react to US-Israel strikes on Iran","India Today","2026-03-01","entertainment"
"Rashmika Mandanna invites Telangana CM Revanth Reddy to wedding reception. Pics","India Today","2026-03-01","entertainment"
"'Why is it being talked about so much?' Alia Bhatt responds to BAFTA, Gone Girl backlash","Mint","2026-02-28","entertainment"
"Tere Naam Re-Release: Salman Khan’s iconic love story back on big screen amid nostalgia and debate","Mint","2026-02-27","entertainment"
"Bridgerton Season 4 Part 1 recap ahead of Part 2 release","Mint","2026-02-26","entertainment"
"Nora Fatehi reassures fans of her safety, speaks on escalating US-Iran conflict","Hindustan Times","2026-03-01","entertainment"
"Rajpal reacts to Priyadarshan blaming his 'poor education' for debt case","Hindustan Times","2026-03-01","entertainment"
"Saif Ali Khan fulfils dad duties, turns photographer for sons Taimur and Jeh","Hindustan Times","2026-03-01","entertainment"
"Arijit Singh returns with independent track after stepping away from Bollywood","Hindustan Times","2026-03-01","entertainment"
"Vijay Thalapathy's wife Sangeetha files for divorce; timeline of relationship","Hindustan Times","2026-03-01","entertainment"
"Assamese film 'Moi Eti Nixhasor' wins Special Mention at US competition","Hindustan Times","2026-03-01","entertainment"
"Jatin Sarna on playing antagonist in Rajinikanth's Jailer 2: 'I manifested it'","Hindustan Times","2026-02-28","entertainment"
"The Kerala Story 2 box office collection day 1: Film opens at over 4.6 crore","Hindustan Times","2026-03-01","entertainment"
"Ektaa Kapoor warns against fake casting calls misusing Balaji Telefilms' name","Hindustan Times","2026-02-28","entertainment"
"Musician A R Rahman agrees in SC to give credit for song to Junior Dagar Brothers","The Economic Times","2026-02-20","entertainment"
"Dream Cricket appoints Arpith Kanade as Head of Studio to drive global growth","The Economic Times","2026-02-24","entertainment"
"'The Kerala Story 2' row: Director Kamakhya Narayan calls Prakash Raj 'intellectually bankrupt' over remarks","The Economic Times","2026-02-23","entertainment"
"'SAG-AFTRA's Actor Awards: 'Sinners' Wins Ensemble Prize; Michael B. Jordan, Jessie Buckley, 'The Studio', 'The Pitt', Catherine O' Hara Score - Full Winners List'","Deadline","2026-03-01","entertainment"
"Art Directors Guild Awards: 'Frankenstein' & 'One Battle After Another' Take Top Film prizes - Full list","Deadline","2026-02-28","entertainment"
"'Industry Star Kit Harington Weighs Henry's Culpability & His Future As Tender Scheme Collapses In Season 4 Finale: "He will Always Do Bad By Trying To Do Good"'","Deadline","2026-03-01","entertainment"
"Jim Carrey's Appearance at Cesar Awards Sparks Social Media Stir: 'Some Truman Show Stuff'","The Wrap","2026-02-28","entertainment"
"'Scream 7' Slays Franchise Box Office Record With $60 Million-Plus Opening","The Wrap","2026-02-28","entertainment"
"Sony Pictures Classics Nabs Global Rights to Sundance Comedy 'Gali Daughtry and the Celebrity Sex Pass'","The Wrap","2026-02-27","entertainment"
"Akshay Kumar & Wamiqa Gabbi begin promotions for Bhoot Bangla in Style","Mid Day","2026-03-01","entertainment"
"Shahid Kapoor's happiness mantra includes a car ride & Kishore Kumar songs","Mid Day","2026-03-01","entertainment"
"Kangana Ranaut takes dig at Karan Johar, says her standards are not that low","Mid Day","2026-02-28","entertainment"
"Sai Pallavi to play Deepika Padukone's character Sumati in Kalki 2 | Report","Mid Day","2026-02-28","entertainment"
"Yami Gautam gives first review of Dhurandhar 2: 'It is beyond extraordinary'","Mid Day","2026-02-27","entertainment"
"Nitesh Tiwari's Ramayana set for international spotlight with Comic-Con reveal","Mid Day","2026-02-28","entertainment"
"Oscar-nominated doc 'The Alabama Solution' exposes state's deadly prisons","ABC News","2026-02-28","entertainment"
"Olivia Dean wins 4 Brit Awards, taking artist of the year and song of the year","ABC News","2026-02-28","entertainment"
"Vijay Sethupathi's 'Gandhi Talks' OTT release on March 6","Deccan Chronicle","2026-02-28","entertainment"
"Amitabh Bachchan To Do His Own Stunts in Kalki 2","Deccan Chronicle","2026-02-27","entertainment"
"'Heated Rivalry' Season 2 is coming 'as soon as humanly possible.' creators say","CBS News","2026-02-26","entertainment"
"Just Women's Sports launches new Soccer Podcast 'Time Wasting' With Kelley O'Hara And Ali Riley","PR Newswire","2026-02-27","entertainment"
"TIME Reveals 2026 Women of the Year List recognizing 16 leaders working toward a more equitable world","PR Newswire","2026-02-26","entertainment"
"SCOOP: Much-awaited trailer of Dhurandhar: The Revenge to be launched digitally on March 3","Bollywood Hungama","2026-03-01","entertainment"
"Sonal Chauhan stranded in Dubai amid Middle East crisis, seeks PM Narendra Modi's help","Bollywood Hungama","2026-03-01","entertainment"
"karisma Kapoor's children win key round as Delhi Court orders forensic test of Sunjay Kapur's will","Bollywood Hungama","2026-02-28","entertainment"
"SCOOP: T-Series acquires music rights of Rohit Shetty's Golmaal 5 for approx. Rs. 9cr.","Bollywood Hungama","2026-02-28","entertainment"
"REVEALED: Kerala High Court cites Padmaavat, Aarakshan verdicts to clear The Kerala Story 2: Goes Beyond's release","Bollywood Hungama","2026-02-28","entertainment"
"R Madhavan and family escape Dubai shutdown: 'We are all fine'","Bollywood Hungama","2026-03-01","entertainment"
"Ranabaali song 'Endhayya Saami' out: Vijay Deverakonda-Rashmika Mandanna's wedding themed track features 'Happy Married Life' note","Bollywood Hungama","2026-02-28","entertainment"
"SCOOP: Akshay Kumar and Saif Ali Khan's Haiwaan sells non-theatrical rights for a MASSIVE Rs.80 crores; Makers recover 70%+ already","Bollywood Hungama","2026-02-28","entertainment"
"SCOOP: Love & War REAL budget revealed; Sanjay Leela Bhansali's epic costs Rs 350cr, not Rs 425cr.","Bollywood Hungama","2026-03-01","entertainment"
"Renate Reinsve's remarkable rise","CBS News","2026-02-28","entertainment"
"What's behind Pokémon's wild success as it marks 30 years","CBS News","2026-02-28","entertainment"
"Rock & Roll Hall of Fame reveals 2026 nominees","CBS News","2026-02-25","entertainment"
"Oprah picks "Kin" by Tayari Jones as latest book club selection","CBS News","2026-02-24","entertainment"
"Nick Reiner pleads not guilty in the killing of his parents Rob Reiner and Michele Singer Reiner","CBS News","2026-02-23","entertainment"
"Survivor" hits reality TV milestone with season 50","CBS News","2026-02-21","entertainment"
"Hilary Duff responds to rumors about old flame in 'Mature, torn relationship with sister Haylie and more'","CBS News","2026-02-20","entertainment"
"Ben Markovits: ‘I used to think any book concerned with people falling in love can’t be very good’","The Guardian","2026-02-27","entertainment"
"‘We’re losing accessibility’: America says goodbye to the mass-market paperback","The Guardian","2026-02-24","entertainment"
"Netflix, Disney+ and Prime Video to come under stricter regulation in UK","The Guardian","2026-02-24","entertainment"
"Paramount Skydance wins Warner Bros Discovery bid after Netflix walks away from deal","The Guardian","2026-02-27","entertainment"
"Robert Duvall, Apocalypse Now and Godfather star, dies aged 95","The Guardian","2026-02-16","entertainment"
"Film and TV charity unveils landmark mental health principles for UK industry","The Guardian","2026-02-26","entertainment"
"'Hai Apna Dil Toh Awara' dispute: Kajol's cousin Monjoy Mukerji faces Rs 23.73 lakh payment row","Times of India","2026-03-01","entertainment"
"‘The Matrix 5’ in the works director confirms; Priyanka Chopra to return as Sati?","Times of India","2026-03-01","entertainment"
"'Dhurandhar, Animal or Kabir Singh, audience is attracted to front-footed alpha energy, 80 per cent women not offended","Times of India","2026-02-28","entertainment"
"Taapsee Pannu reveals male actors reject her over ‘difficult to work with' rumors","Times of India","2026-02-28","entertainment"
"‘Bigg Boss Marathi’ promo: Rakhi Sawant cuts her hair over Raquesh Bapat - Tanvi Kolte dance","Times of India","2026-02-27","entertainment"
"K-Pop idol accused of forced prostitution in exposed text messages: All we know so far","Times of India","2026-02-27","entertainment"
"‘It’s gonna be an adventure,’ Priyanka Chopra tells Jimmy Fallon about SS Rajamouli’s mega epic ‘Varanasi’","The Statesman","2026-02-27","entertainment"
"International Film Festival Delhi (IFFD): CM Rekha Gupta announces first-ever edition from March 25-31 at Bharat Mandapam","The Statesman","2026-02-25","entertainment"
"Anurag Kashyap's 'Kennedy': Bloody Like 'Animal' But With a Very Different Heart","The Quint","2026-02-20","entertainment"
"Historic BAFTA Win: 'Boong' Balances Innocence and Harsh Realities of Manipur","The Quint","2026-02-23","entertainment"
"Maya Hawke Gets Married to Christian Lee Hutson, Stranger Things Co-Stars, Parents Uma Thurman and Ethan Hawke Attend","Pinkvilla","2026-02-16","entertainment"
"Priyanka Chopra recalls she was 'forced' to announce her and Nick Jonas' daughter Malti’s birth: 'It was traumatic'","Pinkvilla","2026-02-26","entertainment"
"King: Sachin-Jigar drop major hint about Shah Rukh Khan's 'revolutionised' look, 'A vibe he has never done before'","Pinkvilla","2026-02-28","entertainment"
